sku;name;weight;price;category;stock;description;image
BPBFTQ6K6;Pó Descolorante White 500 g;500 g;105.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/po-descolorante-white-500-g-646d08105d7c4-large.png
Y8D5NM7GM;Shampoo EcoBarber 800 mL;800 mL;35.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-ecobarber-1l-646d099c6ed39-large.png
LEFGGCD59;Shampoo e Condicionador EcoBarber 800 mL;800 mL;70.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-e-condicionador-ecobarber-1l-646d0a3a0ae2a-large.png
K6ND8CCHN;Gloss Finalizador La Boue Home Care Blanc 300ml;300ml;40.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/gloss-finalizador-la-boue-home-care-blanc-300ml-6479f43ac76d2-large.png
Z87QB9DAE;Kit Matizador Silver EcoBelle 300ml - 3 Itens;300ml;130.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-manutencao-home-care-silver-ecobelle-300ml-3-itens-67412ba3969a3-large.png
ZXQDEUV8V;Kit Pimenta Rosa Eco Belle;;120.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-pimenta-rosa-eco-belle-64ef8bb1e85f1-large.png
THQ44H5B8;Shampoo doÈden Capim-Limão e Alecrim 300 mL;300 mL;35.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-doeden-capim-limao-alecrim-300-ml-64ef9399b1302-large.png
X3DYUC6EA;Máscara doÈden Capim-Limão e Alecrim 250 g;250 g;50.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-doeden-capim-limao-alecrim-250-g-64ef961308e96-large.png
8AJ7SPN32;Recondicionador Manutenção Lama La Boue EcoBelle 300 mL;300 mL;40.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/recondicionador-manutencao-lama-la-boue-ecobelle-300-ml-6927b2d5f392f-large.png
WBZA7Q6LP;Máscara Reestruturadora EcoBelle 2 kg;2 kg;150.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-reestruturadora-ecobelle-2-kg-64f2132cc36ca-large.png
